28.11.2020 00:00;17160.38;17896.03;16875.01;17741.79;447.152.202.455;0.03
27.11.2020 00:00;17168.31;17471.89;16435.47;17154.39;896.483.242.941;0.00
26.11.2020 00:00;18727.24;18911.04;16218.00;17160.09;2.142.498.655.676;-0.09
25.11.2020 00:00;19175.13;19490.00;18470.91;18732.43;896.262.225.501;-0.02
24.11.2020 00:00;18386.92;19442.13;18068.56;19160.85;1.326.283.116.668;0.04
23.11.2020 00:00;18432.60;18786.31;18001.95;18383.35;941.208.722.183;0.00
22.11.2020 00:00;18726.43;18770.55;17600.00;18435.20;641.721.771.734;-0.02
21.11.2020 00:00;18685.08;18977.00;18333.45;18725.00;593.750.536.305;0.00
20.11.2020 00:00;17822.37;18824.88;17755.81;18687.65;1.002.001.351.326;0.05
19.11.2020 00:00;17792.96;18189.97;17346.62;17825.47;1.050.669.646.215;0.00
18.11.2020 00:00;17681.77;18483.00;17041.47;17785.95;1.571.792.072.069;0.01
17.11.2020 00:00;16727.85;17868.00;16570.00;17680.63;982.473.852.957;0.05
16.11.2020 00:00;15975.49;16894.93;15875.50;16724.62;751.171.484.029;0.04
15.11.2020 00:00;16092.80;16170.00;15786.46;15975.49;322.570.533.016;-0.01
14.11.2020 00:00;16339.06;16341.89;15715.10;16086.34;504.632.670.498;-0.02
13.11.2020 00:00;16300.00;16494.52;15970.33;16335.58;784.322.421.583;0.00
12.11.2020 00:00;15702.00;16369.99;15481.00;16300.00;1.626.147.118.864;0.04
11.11.2020 00:00;15314.94;15991.01;15290.85;15707.89;1.001.326.427.187;0.03
10.11.2020 00:00;15349.32;15482.76;15092.47;15313.65;896.648.171.393;0.00
9.11.2020 00:00;15484.68;15854.48;14824.66;15332.04;1.446.607.953.692;-0.01
8.11.2020 00:00;14829.32;15664.90;14727.19;15489.15;504.649.916.395;0.04
7.11.2020 00:00;15603.28;15778.60;14351.00;14838.97;1.093.392.419.186;-0.05
6.11.2020 00:00;15608.32;15968.98;15196.01;15598.09;1.347.946.706.771;0.00
5.11.2020 00:00;14168.49;15770.58;14100.00;15605.04;1.842.263.186.045;0.09
4.11.2020 00:00;14041.58;14277.50;13520.87;14160.59;1.092.632.680.544;0.01
3.11.2020 00:00;13578.82;14083.76;13287.70;14041.58;722.586.635.614;0.03
